Time	Node	Type	Packets	
100	4	CacheMisses	100
101	0	CacheHits	0
101	0	CacheMisses	147
101	1	CacheHits	0
101	1	CacheMisses	103
101	2	CacheHits	0
101	2	CacheMisses	103
101	3	CacheHits	0
101	3	CacheMisses	103
101	4	CacheHits	0
101	4	CacheMisses	103
102	0	CacheHits	0
102	0	CacheMisses	146
102	1	CacheHits	0
102	1	CacheMisses	97
102	2	CacheHits	0
102	2	CacheMisses	98
102	3	CacheHits	0
102	3	CacheMisses	97
102	4	CacheHits	0
102	4	CacheMisses	98
103	0	CacheHits	0
103	0	CacheMisses	147
103	1	CacheHits	0
103	1	CacheMisses	127
103	2	CacheHits	0
103	2	CacheMisses	127
103	3	CacheHits	0
103	3	CacheMisses	129
103	4	CacheHits	0
103	4	CacheMisses	127
104	0	CacheHits	0
104	0	CacheMisses	146
104	1	CacheHits	0
104	1	CacheMisses	111
104	2	CacheHits	0
104	2	CacheMisses	111
104	3	CacheHits	0
104	3	CacheMisses	110
104	4	CacheHits	0
104	4	CacheMisses	111
105	0	CacheHits	0
105	0	CacheMisses	147
105	1	CacheHits	0
105	1	CacheMisses	101
105	2	CacheHits	0
105	2	CacheMisses	101
105	3	CacheHits	0
105	3	CacheMisses	100
105	4	CacheHits	0
105	4	CacheMisses	101
106	0	CacheHits	0
106	0	CacheMisses	146
106	1	CacheHits	0
106	1	CacheMisses	114
106	2	CacheHits	0
106	2	CacheMisses	114
106	3	CacheHits	0
106	3	CacheMisses	115
106	4	CacheHits	0
106	4	CacheMisses	114
107	0	CacheHits	0
107	0	CacheMisses	147
107	1	CacheHits	0
107	1	CacheMisses	108
107	2	CacheHits	0
107	2	CacheMisses	108
107	3	CacheHits	0
107	3	CacheMisses	107
107	4	CacheHits	0
107	4	CacheMisses	108
108	0	CacheHits	0
108	0	CacheMisses	146
108	1	CacheHits	0
108	1	CacheMisses	101
108	2	CacheHits	0
108	2	CacheMisses	101
108	3	CacheHits	0
108	3	CacheMisses	101
108	4	CacheHits	0
108	4	CacheMisses	101
109	0	CacheHits	0
109	0	CacheMisses	147
109	1	CacheHits	0
109	1	CacheMisses	111
109	2	CacheHits	0
109	2	CacheMisses	108
109	3	CacheHits	0
109	3	CacheMisses	111
109	4	CacheHits	0
109	4	CacheMisses	108
110	0	CacheHits	0
110	0	CacheMisses	146
110	1	CacheHits	0
110	1	CacheMisses	95
110	2	CacheHits	0
110	2	CacheMisses	98
110	3	CacheHits	0
110	3	CacheMisses	97
110	4	CacheHits	0
110	4	CacheMisses	98
111	0	CacheHits	0
111	0	CacheMisses	147
111	1	CacheHits	0
111	1	CacheMisses	109
111	2	CacheHits	0
111	2	CacheMisses	107
111	3	CacheHits	0
111	3	CacheMisses	107
111	4	CacheHits	0
111	4	CacheMisses	107
112	0	CacheHits	0
112	0	CacheMisses	146
112	1	CacheHits	0
